tweet_id,favorite_count,retweet_count
892420643555336193,33697,6970
892177421306343426,29228,5273
891815181378084864,21976,3464
891689557279858688,36794,7193
891327558926688256,35183,7718
891087950875897856,17752,2586
890971913173991426,10335,1647
890729181411237888,56676,15684
890609185150312448,24432,3604
890240255349198849,27851,6070
890006608113172480,26943,6114
889880896479866881,24486,4141
889665388333682689,41883,8304
889638837579907072,23580,3700
889531135344209921,13312,1874
889278841981685760,22030,4420
888917238123831296,25533,3742
888804989199671297,22395,3514
888554962724278272,17254,2863
888078434458587136,19104,2885
887705289381826560,26532,4519
887517139158093824,40592,9811
887473957103951883,59980,14953
887343217045368832,29493,8777
887101392804085760,26895,4970
886983233522544640,30242,6288
886736880519319552,10454,2616
886680336477933568,19655,3720
886366144734445568,18488,2613
886267009285017600,105,4
886258384151887873,24444,5254
886054160059072513,0,93
885984800019947520,28498,5590
885528943205470208,31487,5306
885518971528720385,17941,3098
885311592912609280,0,15372
885167619883638784,19188,3653
884925521741709313,67029,14945
884876753390489601,24302,4639
884562892145688576,21242,3896
884441805382717440,23782,4777
884247878851493888,63028,16825
884162670584377345,17880,2493
883838122936631299,19093,2850
883482846933004288,40051,8223
883360690899218434,19880,3061
883117836046086144,32387,5512
882992080364220416,20920,3229
882762694511734784,24699,4078
882627270321602560,24531,5044
882268110199369728,39049,9584
882045870035918850,25626,4067
881906580714921986,21377,2840
881666595344535552,44398,8913
881633300179243008,113,8
881536004380872706,43292,13352
881268444196462592,20419,4483
880935762899988482,14998,2325
880872448815771648,18656,3191
880465832366813184,24934,5194
880221127280381952,23581,3448
880095782870896641,24238,3635
879862464715927552,19641,2913
879674319642796034,282,9
879492040517615616,20649,2619
879415818425184262,92513,37268
879376492567855104,14808,2634
879130579576475649,0,5713
879050749262655488,19749,3936
879008229531029506,16724,2230
878776093423087618,17084,3419
878604707211726852,26357,5897
878404777348136964,0,1070
878316110768087041,0,5501
878281511006478336,6757,1070
878057613040115712,37022,5713
877736472329191424,69050,15737
877611172832227328,0,70
877556246731214848,19841,3152
877316821321428993,24070,4321
877201837425926144,23797,4603
876838120628539392,18164,2795
876537666061221889,20992,3962
876484053909872640,16512,1989
876120275196170240,24611,3890
875747767867523072,22035,3567
875144289856114688,19369,4132
875097192612077568,24173,5094
875021211251597312,22491,3954
874680097055178752,24522,3906
874434818259525634,0,12161
874296783580663808,22888,3471
874057562936811520,20056,3368
874012996292530176,30030,8553
873580283840344065,21313,3333
873337748698140672,0,1327
873213775632977920,6302,1327
872967104147763200,23981,4545
872820683541237760,13034,3157
872620804844003328,18274,3058
872486979161796608,35996,7683
872122724285648897,30108,6805
871879754684805121,32978,9211
871762521631449091,17819,2958
871515927908634625,17848,2925
871166179821445120,0,4879
871102520638267392,18492,4654
871032628920680449,20098,3213
870804317367881728,29708,5265
870726314365509632,105,3
870656317836468226,10858,2191
870374049280663552,73726,22659
870308999962521604,19423,3535
870063196459192321,32314,7051
869772420881756160,37892,8659
869702957897576449,24967,5364
869596645499047938,14151,2630
869227993411051520,18086,3190
868880397819494401,57759,12202
868639477480148993,0,1743
868622495443632128,23573,4445
868552278524837888,8937,1743
867900495410671616,21531,3555
867774946302451713,30170,6229
867421006826221569,14299,2109
867072653475098625,0,100
867051520902168576,28609,6755
866720684873056260,17809,4119
866686824827068416,17073,2953
866450705531457537,108520,30062
866334964761202691,46433,12161
866094527597207552,0,7135
865718153858494464,22858,4815
865359393868664832,23524,4271
865006731092295680,24965,6636
864873206498414592,28759,7476
864279568663928832,13030,2571
864197398364647424,26554,7556
863907417377173506,18381,3577
